PlayerId,PlayerName,TeamName,Position,age,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun
667670,Brent Rooker,Athletics,Outfielder,30.0,162.0,132.0,177.0,92.0,40.0,3.0,30.0,155.0,65.0,4.0,164.0,5.0,.262,626.0,.335,.479,.814,1.0,6.0,.857,.143,13.0,2575.0,699.0,300.0,89.0,260.0,0.0,2.0,.302,0.75,1.0,20.87
695391,Brett Harris,Athletics,Third Base,27.0,32.0,18.0,16.0,11.0,5.0,0.0,0.0,21.0,7.0,0.0,20.0,2.0,.274,73.0,.349,.342,.691,0.0,1.0,1.000,.000,1.0,336.0,84.0,25.0,5.0,28.0,1.0,1.0,.377,1.13,0.0,-.--
666126,Carlos Cortes,Athletics,Outfielder,28.0,42.0,24.0,23.0,11.0,8.0,1.0,4.0,20.0,3.0,0.0,29.0,0.0,.309,94.0,.323,.543,.866,0.0,0.0,.---,.---,3.0,375.0,99.0,51.0,14.0,25.0,0.0,2.0,.347,1.04,0.0,23.50
687515,Colby Thomas,Athletics,Outfielder,24.0,49.0,21.0,27.0,20.0,5.0,0.0,6.0,49.0,7.0,0.0,27.0,1.0,.225,120.0,.267,.417,.684,1.0,2.0,.667,.333,3.0,481.0,132.0,50.0,19.0,59.0,1.0,3.0,.309,0.78,0.0,20.00
687231,Darell Hernaiz,Athletics,Third Base,23.0,51.0,61.0,55.0,17.0,5.0,1.0,2.0,24.0,17.0,0.0,40.0,0.0,.231,173.0,.292,.306,.598,4.0,3.0,.429,.571,2.0,712.0,197.0,53.0,16.0,86.0,2.0,5.0,.250,1.11,0.0,86.50
672016,Denzel Clarke,Athletics,Outfielder,25.0,47.0,32.0,23.0,18.0,8.0,2.0,3.0,61.0,6.0,0.0,34.0,3.0,.230,148.0,.274,.372,.646,0.0,6.0,1.000,.000,1.0,631.0,159.0,55.0,8.0,63.0,2.0,0.0,.369,1.39,0.0,49.33
668709,JJ Bleday,Athletics,Outfielder,27.0,98.0,61.0,91.0,48.0,17.0,0.0,14.0,91.0,36.0,2.0,65.0,0.0,.212,307.0,.294,.404,.698,2.0,1.0,.333,.667,6.0,1328.0,344.0,124.0,39.0,129.0,0.0,1.0,.251,0.67,0.0,21.93
805779,Jacob Wilson,Athletics,Shortstop,23.0,125.0,179.0,120.0,62.0,26.0,0.0,13.0,39.0,27.0,1.0,151.0,7.0,.311,486.0,.355,.444,.799,2.0,5.0,.714,.286,16.0,1735.0,523.0,216.0,63.0,178.0,2.0,1.0,.317,1.49,0.0,37.38
671732,Lawrence Butler,Athletics,Outfielder,24.0,152.0,137.0,122.0,83.0,30.0,2.0,21.0,179.0,59.0,0.0,133.0,0.0,.234,569.0,.306,.404,.710,7.0,22.0,.759,.241,7.0,2517.0,630.0,230.0,63.0,235.0,2.0,0.0,.304,1.12,0.0,27.10
691777,Max Muncy,Athletics,Third Base,22.0,63.0,51.0,44.0,17.0,7.0,0.0,9.0,68.0,10.0,0.0,44.0,3.0,.214,206.0,.259,.379,.638,1.0,1.0,.500,.500,1.0,824.0,220.0,78.0,23.0,79.0,0.0,1.0,.269,1.16,0.0,22.89
680474,Max Schuemann,Athletics,Third Base,28.0,101.0,56.0,60.0,20.0,4.0,2.0,2.0,35.0,22.0,0.0,36.0,4.0,.197,183.0,.295,.273,.568,1.0,7.0,.875,.125,6.0,838.0,213.0,50.0,13.0,77.0,3.0,1.0,.231,0.93,0.0,91.50
701762,Nick Kurtz,Athletics,First Base,22.0,117.0,73.0,77.0,90.0,26.0,2.0,36.0,151.0,63.0,3.0,122.0,2.0,.290,420.0,.383,.619,1.002,1.0,2.0,.667,.333,4.0,1954.0,489.0,260.0,86.0,158.0,0.0,3.0,.364,0.95,1.0,11.67
669127,Shea Langeliers,Athletics,Catcher,27.0,123.0,107.0,143.0,73.0,32.0,0.0,31.0,103.0,36.0,1.0,133.0,1.0,.277,481.0,.325,.536,.861,1.0,7.0,.875,.125,10.0,1924.0,523.0,258.0,72.0,206.0,0.0,5.0,.290,0.75,0.0,15.52
691016,Tyler Soderstrom,Athletics,Outfielder,23.0,158.0,153.0,114.0,75.0,34.0,1.0,25.0,141.0,55.0,2.0,155.0,6.0,.276,561.0,.346,.474,.820,3.0,8.0,.727,.273,18.0,2227.0,624.0,266.0,93.0,274.0,0.0,2.0,.327,1.34,0.0,22.44
680862,Willie MacIver,Athletics,Catcher,28.0,33.0,33.0,23.0,7.0,5.0,0.0,3.0,27.0,7.0,0.0,19.0,2.0,.186,102.0,.252,.324,.576,0.0,3.0,1.000,.000,1.0,395.0,111.0,33.0,9.0,47.0,0.0,0.0,.222,1.43,0.0,34.00
680869,Zack Gelof,Athletics,Second Base,25.0,30.0,12.0,20.0,12.0,3.0,0.0,2.0,46.0,7.0,0.0,16.0,0.0,.174,92.0,.230,.272,.502,2.0,1.0,.333,.667,0.0,416.0,101.0,25.0,7.0,35.0,1.0,1.0,.311,0.60,0.0,46.00
672744,Alexander Canario,Pittsburgh Pirates,Outfielder,25.0,87.0,44.0,46.0,25.0,6.0,1.0,6.0,80.0,17.0,0.0,47.0,0.0,.218,216.0,.274,.338,.612,1.0,3.0,.750,.250,5.0,897.0,234.0,73.0,20.0,112.0,0.0,1.0,.313,0.96,0.0,36.00
695257,Billy Cook,Pittsburgh Pirates,Outfield,26.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,.333,6.0,.333,.333,.666,0.0,0.0,.---,.---,0.0,20.0,6.0,2.0,0.0,3.0,0.0,0.0,.400,2.00,0.0,-.--
668804,Bryan Reynolds,Pittsburgh Pirates,Outfielder,30.0,154.0,155.0,118.0,68.0,38.0,3.0,16.0,173.0,57.0,1.0,144.0,7.0,.245,587.0,.318,.402,.720,2.0,3.0,.600,.400,15.0,2631.0,654.0,236.0,73.0,249.0,0.0,3.0,.319,1.31,0.0,36.69
687478,Cam Devanney,Pittsburgh Pirates,Shortstop,28.0,14.0,2.0,8.0,1.0,1.0,0.0,0.0,21.0,2.0,0.0,5.0,0.0,.139,36.0,.184,.167,.351,1.0,0.0,.000,1.000,1.0,162.0,38.0,6.0,1.0,19.0,0.0,0.0,.333,0.25,0.0,-.--
